,STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,E_COMMODITY,YEAR,MONTH
0,-,1067303290,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
1,AK,46054,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
2,AZ,37784,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
3,CA,2723750,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
4,FL,107360,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
5,GA,11239203,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
6,IA,8152564,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
7,IL,24302465,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
8,IN,5640841,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
9,KS,14431231,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
10,LA,87963874,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
11,MD,31208,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
12,MI,5945994,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
13,MN,9500523,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
14,MO,2927272,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
15,MS,68592,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
16,MT,1733467,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
17,NJ,13720,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
18,NV,34400,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
19,NY,1028885,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
20,OH,200153,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
21,OR,6593,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
22,PA,72337,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
23,SC,9889,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
24,SD,3381277,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
25,TX,1469779,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
26,WA,885477333,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
27,WI,668934,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
28,XX,87808,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
