STATE,ALL_VAL_MO,E_COMMODITY,E_COMMODITY_LDESC,YEAR,MONTH,E_COMMODITY
-,5847692,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
AZ,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
CA,30132,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
FL,245358,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
GA,89257,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
IA,39762,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
IL,1286976,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
IN,445890,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
KS,231217,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MD,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MI,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MN,118629,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MO,2388846,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MS,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
MT,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
NC,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
ND,5117,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
NE,92556,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
NJ,146567,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
NY,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
OK,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
OR,39388,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
PA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
PR,0,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
SC,17854,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
TN,164885,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
TX,448137,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
WA,11732,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
WI,15499,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
XX,29890,110313,GROATS AND MEAL OF CORN (MAIZE),2013,08,110313
IA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
-,15655794,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
AZ,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
CA,13265,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
FL,579757,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
GA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
IL,1059614,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
IN,437401,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
KS,1515712,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
KY,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
MI,8970,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
MN,55646,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
MO,238623,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
MS,7742,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
ND,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
NE,162139,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
NJ,10608734,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
NY,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
OH,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
OK,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
OR,2828,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
PR,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
SC,22522,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
TN,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
TX,173241,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
WA,4644,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
WI,711817,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
XX,53139,110313,GROATS AND MEAL OF CORN (MAIZE),2021,11,110313
IN,505539,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
-,5611248,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
AZ,11773,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
CA,22615,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
FL,470513,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
GA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
IA,11661,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
IL,854643,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
KS,1832717,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
KY,9440,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
MI,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
MN,16632,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
MO,177779,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
MS,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
ND,6515,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
NE,164731,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
NJ,6918,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
NY,3840,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
OH,55591,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
OR,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
PR,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
SC,22684,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
TN,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
TX,372887,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
WA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
WI,1012368,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
XX,52402,110313,GROATS AND MEAL OF CORN (MAIZE),2021,08,110313
-,8190757,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
IA,0,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
CA,10520,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
FL,451966,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
GA,95592,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
IL,1075991,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
IN,280150,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
KS,667744,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
MI,8503,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
MN,0,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
MO,840650,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
MT,0,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
NY,7081,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
ND,0,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
NE,140336,110313,GROATS AND MEAL OF CORN (MAIZE),2020,05,110313
