E_COMMODITY_LDESC,QTY_1_YR,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8093949,KG,2013,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",18663863,KG,2013,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",37444041,KG,2013,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",49871660,KG,2013,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",55572588,KG,2013,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",61825610,KG,2013,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",72672327,KG,2013,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",80042257,KG,2013,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",85458951,KG,2013,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",93609360,KG,2013,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",98831516,KG,2013,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",105140527,KG,2013,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",15145437,KG,2014,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",31029530,KG,2014,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",42791509,KG,2014,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",61507042,KG,2014,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",73217893,KG,2014,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",78773746,KG,2014,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",87008064,KG,2014,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",106782497,KG,2014,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",117759837,KG,2014,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",124716156,KG,2014,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",131004178,KG,2014,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",139141904,KG,2014,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7051283,KG,2015,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",13425471,KG,2015,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",30559557,KG,2015,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",37997639,KG,2015,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",51366611,KG,2015,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",61911422,KG,2015,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",68517219,KG,2015,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",81744635,KG,2015,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",90129129,KG,2015,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",99857275,KG,2015,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",108408780,KG,2015,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",116426300,KG,2015,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5612425,KG,2016,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",28621619,KG,2016,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",42445147,KG,2016,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",56349937,KG,2016,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",67691270,KG,2016,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",78635135,KG,2016,06,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",90944412,KG,2016,07,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",100307737,KG,2016,08,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",114392194,KG,2016,09,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",123456069,KG,2016,10,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",140898662,KG,2016,11,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",156142517,KG,2016,12,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7010814,KG,2017,01,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",15063263,KG,2017,02,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",24578474,KG,2017,03,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",32143707,KG,2017,04,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",48178164,KG,2017,05,1103130020
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",65213039,KG,2017,06,1103130020
