STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,YEAR,MONTH,E_COMMODITY
-,211646301,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
AR,90711,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
AZ,1199960,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
CA,67084958,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
CO,90826,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
DE,391997,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
FL,36210716,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
GA,9477489,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
IL,518722,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
IN,4329,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
KS,80000,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MA,1947890,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MD,441866,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
ME,19978943,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MI,763081,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MN,44508,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MO,4331,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
MS,53053,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
NC,5660654,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
ND,4410,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
NJ,23190993,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
NY,1578559,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
OH,224290,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
OR,12387308,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
PA,6484487,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
SC,50000,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
SD,21500,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
TX,315908,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
WA,16470920,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
WI,4935967,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
WV,25000,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
XX,1912925,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2014,12,081040
-,166004074,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
AZ,1033212,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
CA,52419071,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
DE,184330,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
FL,20746420,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
GA,8762527,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
ID,34431,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
IL,851512,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
MA,367059,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
ME,7782445,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
MI,759464,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
MN,34800,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
NC,3705102,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
NJ,21617097,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
NY,1496574,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
OR,10699597,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
PA,7007922,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
SC,134996,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
TX,1677398,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
VA,38521,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
WA,22484592,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
WI,2103421,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
XX,2063583,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2017,10,081040
-,193526947,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
AZ,1959224,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
CA,58904157,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
CO,73986,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
DE,205517,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
FL,20127075,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
GA,10961569,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
IL,632021,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
MA,54618,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
ME,3911273,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
MI,786844,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
MN,4134,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
NC,3858269,081040,"CRANBERRIES, BLUEBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH",2020,09,081040
