E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19029772,KG,2013,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16397635,KG,2013,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17716991,KG,2013,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19628627,KG,2013,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",22367378,KG,2013,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20815060,KG,2013,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",21421189,KG,2013,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",21831027,KG,2013,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19176904,KG,2013,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20571605,KG,2013,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20136583,KG,2013,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18096249,KG,2013,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18344088,KG,2014,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18947327,KG,2014,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",23112625,KG,2014,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",22783446,KG,2014,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",22528398,KG,2014,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19562065,KG,2014,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17971836,KG,2014,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17948524,KG,2014,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16594156,KG,2014,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17814694,KG,2014,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17146386,KG,2014,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16495223,KG,2014,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",13021042,KG,2015,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",14163343,KG,2015,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18020521,KG,2015,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17707547,KG,2015,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",20890464,KG,2015,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17478586,KG,2015,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16802971,KG,2015,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",14264062,KG,2015,08,0404104000
