STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,YEAR,MONTH,E_COMMODITY
-,1252878879,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
AL,7587082,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
AR,51128,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
CA,3420847,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
CO,400349,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
FL,117060,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
GA,37803653,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
IA,87172844,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
IL,111919279,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
IN,4406000,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
KS,64332890,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
KY,5957584,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
LA,172751487,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
MD,165660,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
ME,423122,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
MI,4188226,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
MN,52424014,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
MO,36839836,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
MS,2600,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
ND,1289709,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
NE,26076926,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
NJ,8691,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
NV,768612,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
NY,14391896,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
OH,231695,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
OR,1924450,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
SC,2091571,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
SD,11421250,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
TX,414004,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
UT,6177,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
VA,5391455,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
VT,167850,120810,FLOURS AND MEALS OF SOYBEANS,2014,12,120810
