E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",640560,L,2013,01,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",716615,L,2013,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",641976,L,2013,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",744835,L,2013,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",792977,L,2013,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",701305,L,2013,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",716906,L,2013,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",696264,L,2013,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",694356,L,2013,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",724991,L,2013,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",799897,L,2013,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",826304,L,2013,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",844366,L,2014,01,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",826372,L,2014,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",994689,L,2014,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",860614,L,2014,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",940531,L,2014,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",860746,L,2014,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",1017470,L,2014,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",951981,L,2014,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",839633,L,2014,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",847871,L,2014,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",889411,L,2014,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",926203,L,2014,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",982894,L,2015,01,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",890021,L,2015,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",964610,L,2015,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",462226,L,2015,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2015,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2015,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",153192,L,2015,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2015,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",202525,L,2015,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",53003,L,2015,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2015,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2015,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",1000,L,2016,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",4286,L,2016,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",4859,L,2016,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",18995,L,2016,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2016,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",19278,L,2016,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",2523,L,2016,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",17676,L,2016,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",21000,L,2016,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",95625,L,2016,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",99830,L,2016,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",157931,L,2017,01,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",479685,L,2017,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",193427,L,2017,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",286725,L,2017,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",202458,L,2017,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",482509,L,2017,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",822250,L,2017,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",38984,L,2017,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",24295,L,2017,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2017,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",439,L,2017,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",19125,L,2017,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",3879,L,2018,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",532560,L,2018,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",811313,L,2018,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",719581,L,2018,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",152975,L,2018,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",15639,L,2018,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",20125,L,2018,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",57375,L,2018,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",64590,L,2018,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2018,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",51245,L,2018,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",1583,L,2019,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",8934,L,2019,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2019,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",50237,L,2019,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",18144,L,2019,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",20644,L,2019,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",106850,L,2019,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",590275,L,2019,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",28323,L,2019,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",24600,L,2019,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",95625,L,2019,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",26672,L,2020,01,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2020,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",19125,L,2020,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2020,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",40093,L,2020,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",58063,L,2020,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",79925,L,2020,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",176400,L,2020,08,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",179975,L,2020,09,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",76500,L,2020,10,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",0,L,2020,11,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",7041,L,2020,12,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",210528,L,2021,02,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",20000,L,2021,03,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",379334,L,2021,04,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",45073,L,2021,05,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",57556,L,2021,06,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",19278,L,2021,07,0404102000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, FLUID",2374,L,2021,08,0404102000
