E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"MODIFIED WHEY, NESOI",9577802,KG,2013,1,404100850
"MODIFIED WHEY, NESOI",9243003,KG,2013,2,404100850
"MODIFIED WHEY, NESOI",10357029,KG,2013,3,404100850
"MODIFIED WHEY, NESOI",10703985,KG,2013,4,404100850
"MODIFIED WHEY, NESOI",11578350,KG,2013,5,404100850
"MODIFIED WHEY, NESOI",11762364,KG,2013,6,404100850
"MODIFIED WHEY, NESOI",11095570,KG,2013,7,404100850
"MODIFIED WHEY, NESOI",10968566,KG,2013,8,404100850
"MODIFIED WHEY, NESOI",9150485,KG,2013,9,404100850
"MODIFIED WHEY, NESOI",9582980,KG,2013,10,404100850
"MODIFIED WHEY, NESOI",8049269,KG,2013,11,404100850
"MODIFIED WHEY, NESOI",8511345,KG,2013,12,404100850
"MODIFIED WHEY, NESOI",9148636,KG,2014,1,404100850
"MODIFIED WHEY, NESOI",9221732,KG,2014,2,404100850
"MODIFIED WHEY, NESOI",12352038,KG,2014,3,404100850
"MODIFIED WHEY, NESOI",11085663,KG,2014,4,404100850
"MODIFIED WHEY, NESOI",10715995,KG,2014,5,404100850
"MODIFIED WHEY, NESOI",13045373,KG,2014,6,404100850
"MODIFIED WHEY, NESOI",12286520,KG,2014,7,404100850
"MODIFIED WHEY, NESOI",12820399,KG,2014,8,404100850
"MODIFIED WHEY, NESOI",9014356,KG,2014,9,404100850
"MODIFIED WHEY, NESOI",14166404,KG,2014,10,404100850
"MODIFIED WHEY, NESOI",12219354,KG,2014,11,404100850
"MODIFIED WHEY, NESOI",11404040,KG,2014,12,404100850
"MODIFIED WHEY, NESOI",8599723,KG,2015,1,404100850
"MODIFIED WHEY, NESOI",9160935,KG,2015,2,404100850
"MODIFIED WHEY, NESOI",12141187,KG,2015,3,404100850
"MODIFIED WHEY, NESOI",13143198,KG,2015,4,404100850
"MODIFIED WHEY, NESOI",13511423,KG,2015,5,404100850
"MODIFIED WHEY, NESOI",10455358,KG,2015,6,404100850
"MODIFIED WHEY, NESOI",11955169,KG,2015,7,404100850
"MODIFIED WHEY, NESOI",7764834,KG,2015,8,404100850
"MODIFIED WHEY, NESOI",8016731,KG,2015,9,404100850
"MODIFIED WHEY, NESOI",9470328,KG,2015,10,404100850
"MODIFIED WHEY, NESOI",8442313,KG,2015,11,404100850
"MODIFIED WHEY, NESOI",8799686,KG,2015,12,404100850
"MODIFIED WHEY, NESOI",8407118,KG,2016,1,404100850
"MODIFIED WHEY, NESOI",11117422,KG,2016,2,404100850
"MODIFIED WHEY, NESOI",11116595,KG,2016,3,404100850
"MODIFIED WHEY, NESOI",10510663,KG,2016,4,404100850
"MODIFIED WHEY, NESOI",10635372,KG,2016,5,404100850
"MODIFIED WHEY, NESOI",12287848,KG,2016,6,404100850
"MODIFIED WHEY, NESOI",11054708,KG,2016,7,404100850
"MODIFIED WHEY, NESOI",11743344,KG,2016,8,404100850
"MODIFIED WHEY, NESOI",11449951,KG,2016,9,404100850
"MODIFIED WHEY, NESOI",11496577,KG,2016,10,404100850
"MODIFIED WHEY, NESOI",11512059,KG,2016,11,404100850
"MODIFIED WHEY, NESOI",12630774,KG,2016,12,404100850
"MODIFIED WHEY, NESOI",9694167,KG,2017,1,404100850
"MODIFIED WHEY, NESOI",13751298,KG,2017,2,404100850
"MODIFIED WHEY, NESOI",12766201,KG,2017,3,404100850
"MODIFIED WHEY, NESOI",12896828,KG,2017,4,404100850
"MODIFIED WHEY, NESOI",13712517,KG,2017,5,404100850
"MODIFIED WHEY, NESOI",12005073,KG,2017,6,404100850
"MODIFIED WHEY, NESOI",10347676,KG,2017,7,404100850
"MODIFIED WHEY, NESOI",13081368,KG,2017,8,404100850
"MODIFIED WHEY, NESOI",13187302,KG,2017,9,404100850
"MODIFIED WHEY, NESOI",13750418,KG,2017,10,404100850
"MODIFIED WHEY, NESOI",13557884,KG,2017,11,404100850
"MODIFIED WHEY, NESOI",14884124,KG,2017,12,404100850
"MODIFIED WHEY, NESOI",10249551,KG,2018,1,404100850
"MODIFIED WHEY, NESOI",11814555,KG,2018,2,404100850
"MODIFIED WHEY, NESOI",11171281,KG,2018,3,404100850
"MODIFIED WHEY, NESOI",12297674,KG,2018,4,404100850
