CultGin_QTY,CultGin_Unit,YEAR,MONTH,WildGin_QTY,WildGin_Unit,QTY_1_MO,National_Value,WI_Value
4817.0,KG,2017,1,24491.0,KG,29308.0,5164342.0,1637102.0
2746.0,KG,2017,2,35394.0,KG,38140.0,3978290.0,2616778.0
2296.0,KG,2017,3,38905.0,KG,41201.0,4009120.0,2081548.0
1905.0,KG,2017,4,52771.0,KG,54676.0,5245130.0,4702861.0
2579.0,KG,2017,5,28075.0,KG,30654.0,3086842.0,2862494.0
539.0,KG,2017,6,51349.0,KG,51888.0,4471497.0,4008174.0
1679.0,KG,2017,7,9891.0,KG,11570.0,908127.0,604558.0
722.0,KG,2017,8,46625.0,KG,47347.0,3143428.0,2580049.0
1177.0,KG,2017,9,11418.0,KG,12595.0,1016502.0,745334.0
2920.0,KG,2017,10,26072.0,KG,28992.0,2915442.0,1183016.0
12965.0,KG,2017,11,55207.0,KG,68172.0,9382687.0,3938587.0
5992.0,KG,2017,12,53085.0,KG,59077.0,12029328.0,3441648.0
6245.0,KG,2018,1,69860.0,KG,76105.0,8478502.0,3202002.0
29.0,KG,2018,2,18839.0,KG,18868.0,1207859.0,955638.0
3101.0,KG,2018,3,28547.0,KG,31648.0,2579070.0,1615774.0
4007.0,KG,2018,4,23974.0,KG,27981.0,3524871.0,3017083.0
2465.0,KG,2018,5,50163.0,KG,52628.0,4941709.0,3675933.0
1535.0,KG,2018,6,24986.0,KG,26521.0,2825307.0,2218772.0
82.0,KG,2018,7,3759.0,KG,3841.0,224056.0,4845.0
139.0,KG,2018,8,21144.0,KG,21283.0,1480825.0,1117851.0
596.0,KG,2018,9,4878.0,KG,5474.0,321754.0,47633.0
6301.0,KG,2018,10,43191.0,KG,49492.0,5193190.0,2935596.0
17993.0,KG,2018,11,50820.0,KG,68813.0,8281623.0,1625104.0
12775.0,KG,2018,12,91290.0,KG,104065.0,11485640.0,5153323.0
7016.0,KG,2019,1,33008.0,KG,40024.0,4593306.0,1922010.0
5318.0,KG,2019,2,37960.0,KG,43278.0,3923554.0,2131098.0
2533.0,KG,2019,3,23928.0,KG,26461.0,3362057.0,1203802.0
2618.0,KG,2019,4,51815.0,KG,54433.0,4537398.0,3374551.0
1635.0,KG,2019,5,68440.0,KG,70075.0,5481468.0,4434220.0
1308.0,KG,2019,6,15895.0,KG,17203.0,1145369.0,609310.0
6144.0,KG,2019,7,3022.0,KG,9166.0,780110.0,240587.0
455.0,KG,2019,8,25748.0,KG,26203.0,1448089.0,1012770.0
128.0,KG,2019,9,19957.0,KG,20085.0,1822913.0,1722355.0
2446.0,KG,2019,10,34394.0,KG,36840.0,2623101.0,590062.0
11530.0,KG,2019,11,86092.0,KG,97622.0,8567457.0,2910428.0
11419.0,KG,2019,12,36545.0,KG,47964.0,6738322.0,1728098.0
4454.0,KG,2020,1,34957.0,KG,39411.0,5651538.0,3101654.0
1334.0,KG,2020,2,45762.0,KG,47096.0,3405087.0,1054559.0
1122.0,KG,2020,3,34137.0,KG,35259.0,2261838.0,1343297.0
1386.0,KG,2020,4,19139.0,KG,20525.0,1251490.0,1069899.0
865.0,KG,2020,5,51176.0,KG,52041.0,2885679.0,2469013.0
1477.0,KG,2020,6,34892.0,KG,36369.0,2890383.0,1475690.0
732.0,KG,2020,7,21827.0,KG,22559.0,1538764.0,642146.0
881.0,KG,2020,8,38647.0,KG,39528.0,3377268.0,2728024.0
1015.0,KG,2020,9,8543.0,KG,9558.0,1061656.0,377829.0
2647.0,KG,2020,10,12738.0,KG,15385.0,1921801.0,425845.0
1916.0,KG,2020,11,31489.0,KG,33405.0,4077681.0,680243.0
6558.0,KG,2020,12,67669.0,KG,74227.0,9669904.0,3895093.0
4592.0,KG,2021,1,35824.0,KG,40416.0,6365465.0,2776867.0
887.0,KG,2021,2,95055.0,KG,95942.0,5543353.0,4775259.0
1825.0,KG,2021,3,126560.0,KG,128385.0,5942792.0,4500289.0
2385.0,KG,2021,4,19994.0,KG,22379.0,1858857.0,1621948.0
1109.0,KG,2021,5,25558.0,KG,26667.0,1815077.0,1150744.0
2988.0,KG,2021,6,47195.0,KG,50183.0,3500762.0,3330005.0
1275.0,KG,2021,7,8813.0,KG,10088.0,521248.0,327361.0
4040.0,KG,2021,8,23275.0,KG,27315.0,1633326.0,800603.0
1430.0,KG,2021,9,19516.0,KG,20946.0,1834275.0,1561490.0
526.0,KG,2021,10,4450.0,KG,4976.0,191718.0,72515.0
19966.0,KG,2021,11,21078.0,KG,41044.0,6755520.0,2184681.0
5693.0,KG,2021,12,34436.0,KG,40129.0,10319293.0,2025466.0
2656.0,KG,2022,1,56513.0,KG,59169.0,8976800.0,4131056.0
1737.0,KG,2022,2,42175.0,KG,43912.0,3393809.0,1706831.0
1130.0,KG,2022,3,48756.0,KG,49886.0,3393523.0,2734189.0
,,2013,1,,,,6554159.0,2343846.0
,,2013,2,,,,3643683.0,1228629.0
,,2013,3,,,,3319559.0,1691169.0
,,2013,4,,,,3152915.0,2275966.0
,,2013,5,,,,2200522.0,1913507.0
,,2013,6,,,,3160446.0,1776747.0
,,2013,7,,,,2372292.0,930621.0
,,2013,8,,,,2823993.0,813533.0
,,2013,9,,,,1377682.0,303675.0
,,2013,10,,,,14138617.0,4873540.0
,,2013,11,,,,28849976.0,10626069.0
,,2013,12,,,,18964538.0,9396795.0
,,2014,1,,,,11571294.0,4267776.0
,,2014,2,,,,3767321.0,3112776.0
,,2014,3,,,,5059857.0,3793121.0
,,2014,4,,,,2388396.0,975811.0
,,2014,5,,,,1696463.0,255069.0
,,2014,6,,,,1202387.0,1005266.0
,,2014,7,,,,3335592.0,131077.0
,,2014,8,,,,141633.0,109138.0
,,2014,9,,,,786143.0,0.0
,,2014,10,,,,12961744.0,3258087.0
,,2014,11,,,,16871994.0,5117725.0
,,2014,12,,,,17518327.0,6209125.0
,,2015,1,,,,14342896.0,5364502.0
,,2015,2,,,,2487595.0,575119.0
,,2015,3,,,,7984192.0,4627342.0
,,2015,4,,,,1342392.0,1294359.0
,,2015,5,,,,2840221.0,2008648.0
,,2015,6,,,,920759.0,733890.0
,,2015,7,,,,1219055.0,1004797.0
,,2015,8,,,,540347.0,468064.0
,,2015,9,,,,372083.0,189500.0
,,2015,10,,,,4228882.0,1782506.0
,,2015,11,,,,7381236.0,2108567.0
,,2015,12,,,,12289966.0,4472058.0
,,2016,1,,,,7972906.0,3127831.0
,,2016,2,,,,2117580.0,718673.0
,,2016,3,,,,3005407.0,1450628.0
,,2016,4,,,,1179679.0,1102808.0
,,2016,5,,,,2281310.0,1947865.0
,,2016,6,,,,4357949.0,2339645.0
,,2016,7,,,,2177551.0,2074652.0
,,2016,8,,,,518200.0,364590.0
,,2016,9,,,,502565.0,421365.0
,,2016,10,,,,3490909.0,2786615.0
,,2016,11,,,,7563089.0,3769522.0
