YEAR,MONTH,National_Value,QTY_1_MO,UNIT_QY1,WI_Value,price,WI_QTY,date,WI_Mean,NAT_Mean
2013,1,3075765.0,2805865.0,KG,,1.0961913705755622,,2013-01-01,3325.8986347617306,3041520.0
2013,2,2711787.0,2206523.0,KG,15187.0,1.2289865095446546,12357.3366200959,2013-02-01,3325.8986347617306,3041520.0
2013,3,3711431.0,3861716.0,KG,0.0,0.9610833629402059,0.0,2013-03-01,3325.8986347617306,3041520.0
2013,4,5886328.0,5042356.0,KG,0.0,1.1673765200235762,0.0,2013-04-01,3325.8986347617306,3041520.0
2013,5,5527419.0,5111257.0,KG,0.0,1.0814206759707055,0.0,2013-05-01,3325.8986347617306,3041520.0
2013,6,1003205.0,1062192.0,KG,0.0,0.9444667254131079,0.0,2013-06-01,3325.8986347617306,3041520.0
2013,7,2947689.0,3507586.0,KG,0.0,0.8403754034826231,0.0,2013-07-01,3325.8986347617306,3041520.0
2013,8,3207766.0,4271408.0,KG,0.0,0.7509856234759124,0.0,2013-08-01,3325.8986347617306,3041520.0
2013,9,2117235.0,3014765.0,KG,0.0,0.7022885697558516,0.0,2013-09-01,3325.8986347617306,3041520.0
2013,10,981610.0,1182687.0,KG,0.0,0.8299829117932301,0.0,2013-10-01,3325.8986347617306,3041520.0
2013,11,1346814.0,1502648.0,KG,21715.0,0.8962937427794134,24227.548362283134,2013-11-01,3325.8986347617306,3041520.0
2013,12,3005007.0,2929237.0,KG,0.0,1.0258668042223964,0.0,2013-12-01,3325.8986347617306,3041520.0
2014,1,3663358.0,3140444.0,KG,,1.1665095763528979,,2014-01-01,,4587245.166666667
2014,2,7142825.0,6254535.0,KG,,1.1420233478587936,,2014-02-01,,4587245.166666667
2014,3,4685561.0,4811630.0,KG,,0.9737991075789285,,2014-03-01,,4587245.166666667
2014,4,7136909.0,5983396.0,KG,,1.1927856688743315,,2014-04-01,,4587245.166666667
2014,5,4984038.0,3974378.0,KG,,1.2540422677460472,,2014-05-01,,4587245.166666667
2014,6,4992205.0,6642241.0,KG,,0.7515844426602407,,2014-06-01,,4587245.166666667
2014,7,2485312.0,2725964.0,KG,,0.9117185700177992,,2014-07-01,,4587245.166666667
2014,8,5433705.0,9224195.0,KG,,0.5890709162154529,,2014-08-01,,4587245.166666667
2014,9,1705998.0,2670662.0,KG,,0.6387921796168889,,2014-09-01,,4587245.166666667
2014,10,1559928.0,1804635.0,KG,,0.8644008345177834,,2014-10-01,,4587245.166666667
2014,11,2910979.0,3971770.0,KG,,0.7329173139431538,,2014-11-01,,4587245.166666667
2014,12,4856165.0,3843092.0,KG,,1.2636088337203482,,2014-12-01,,4587245.166666667
2015,1,7632112.0,6251050.0,KG,,1.2209328032890474,,2015-01-01,,4391801.75
2015,2,5551625.0,5441782.0,KG,,1.020185115831542,,2015-02-01,,4391801.75
2015,3,5815871.0,6113784.0,KG,,0.951271912779385,,2015-03-01,,4391801.75
2015,4,7328977.0,6140126.0,KG,,1.1936199680592874,,2015-04-01,,4391801.75
2015,5,3226712.0,2818574.0,KG,,1.1448030103165643,,2015-05-01,,4391801.75
2015,6,1435402.0,1717018.0,KG,,0.8359854119176386,,2015-06-01,,4391801.75
2015,7,883376.0,1821727.0,KG,,0.48491129571005975,,2015-07-01,,4391801.75
2015,8,3348521.0,7714190.0,KG,,0.4340729227566342,,2015-08-01,,4391801.75
2015,9,1151919.0,2268911.0,KG,,0.5076968642666019,,2015-09-01,,4391801.75
2015,10,1152314.0,1817772.0,KG,,0.6339155845727626,,2015-10-01,,4391801.75
2015,11,5536785.0,4390050.0,KG,,1.2612122868760036,,2015-11-01,,4391801.75
2015,12,5230358.0,6206637.0,KG,,0.8427040279623248,,2015-12-01,,4391801.75
2016,1,7336788.0,7827266.0,KG,,0.9373372516022836,,2016-01-01,23636.484977516026,4401061.666666667
2016,2,6444344.0,7674749.0,KG,,0.8396814019585527,,2016-02-01,23636.484977516026,4401061.666666667
