ModWhey_QTY,ModWhey_QTY.1,YEAR,MONTH,ModOtherWhey_QTY,ModOtherWhey_Unit,FluidOtherWhey_QTY,FluidOther_Unit,DriedOtherWhey_QTY,DriedOther_Unit,FluidOtherWhey_Kg,QTY_1_MO,National_Value,WI_Value,price,WI_QTY,date,WI_Mean,NAT_Mean
9577802.0,KG,2013,1,9577802.0,KG,640560.0,L,19029772.0,KG,666182.4,38851558.4,59237880.0,10663951.0,1.524723394364536,6994023.335258426,2013-01-01,7967247.502639271,40616281.78666667
9243003.0,KG,2013,2,9243003.0,KG,716615.0,L,16397635.0,KG,745279.6,35628920.6,53538622.0,9520383.0,1.502673140201727,6335631.312822915,2013-02-01,7967247.502639271,40616281.78666667
10357029.0,KG,2013,3,10357029.0,KG,641976.0,L,17716991.0,KG,667655.04,39098704.04,59539864.0,8571374.0,1.5228091432157862,5628659.401072044,2013-03-01,7967247.502639271,40616281.78666667
10703985.0,KG,2013,4,10703985.0,KG,744835.0,L,19628627.0,KG,774628.4,41811225.4,64547438.0,10906865.0,1.5437824981805006,7065026.979418935,2013-04-01,7967247.502639271,40616281.78666667
11578350.0,KG,2013,5,11578350.0,KG,792977.0,L,22367378.0,KG,824696.0800000001,46348774.08,69340467.0,16184061.0,1.4960582750325897,10817801.19804989,2013-05-01,7967247.502639271,40616281.78666667
11762364.0,KG,2013,6,11762364.0,KG,701305.0,L,20815060.0,KG,729357.2000000001,45069145.2,71044899.0,14951333.0,1.5763533717963658,9484759.742012605,2013-06-01,7967247.502639271,40616281.78666667
11095570.0,KG,2013,7,11095570.0,KG,716906.0,L,21421189.0,KG,745582.24,44357911.24,74031530.0,12718233.0,1.6689588831054254,7620459.154952477,2013-07-01,7967247.502639271,40616281.78666667
10968566.0,KG,2013,8,10968566.0,KG,696264.0,L,21831027.0,KG,724114.56,44492273.56,71987705.0,14796577.0,1.617982162743854,9145080.422213824,2013-08-01,7967247.502639271,40616281.78666667
9150485.0,KG,2013,9,9150485.0,KG,694356.0,L,19176904.0,KG,722130.24,38200004.24,63578226.0,12395178.0,1.664351281234308,7447453.034558635,2013-09-01,7967247.502639271,40616281.78666667
9582980.0,KG,2013,10,9582980.0,KG,724991.0,L,20571605.0,KG,753990.64,40491555.64,68476542.0,15873190.0,1.6911314203091456,9386136.292765655,2013-10-01,7967247.502639271,40616281.78666667
8049269.0,KG,2013,11,8049269.0,KG,799897.0,L,20136583.0,KG,831892.88,37067013.88,69683222.0,15509509.0,1.8799254298064323,8250066.06862962,2013-11-01,7967247.502639271,40616281.78666667
8511345.0,KG,2013,12,8511345.0,KG,826304.0,L,18096249.0,KG,859356.16,35978295.16,73786513.0,15241745.0,2.05086185078704,7431873.089916231,2013-12-01,7967247.502639271,40616281.78666667
9148636.0,KG,2014,1,9148636.0,KG,844366.0,L,18344088.0,KG,878140.64,37519500.64,65466031.0,14917176.0,1.7448534730818315,8549242.804699626,2014-01-01,8474438.786805585,42953472.54
9221732.0,KG,2014,2,9221732.0,KG,826372.0,L,18947327.0,KG,859426.88,38250217.88,63778909.0,11863445.0,1.667412959583382,7114881.128766199,2014-02-01,8474438.786805585,42953472.54
12352038.0,KG,2014,3,12352038.0,KG,994689.0,L,23112625.0,KG,1034476.56,48851177.56,82148370.0,16679644.0,1.681604704392309,9918885.19128972,2014-03-01,8474438.786805585,42953472.54
11085663.0,KG,2014,4,11085663.0,KG,860614.0,L,22783446.0,KG,895038.56,45849810.56,75185142.0,17814609.0,1.639813580071638,10863801.359189706,2014-04-01,8474438.786805585,42953472.54
10715995.0,KG,2014,5,10715995.0,KG,940531.0,L,22528398.0,KG,978152.24,44938540.24,78529277.0,19519424.0,1.7474817068067718,11170030.521045314,2014-05-01,8474438.786805585,42953472.54
13045373.0,KG,2014,6,13045373.0,KG,860746.0,L,19562065.0,KG,895175.8400000001,46547986.84,71325895.0,11823731.0,1.5323089104834848,7716284.176843489,2014-06-01,8474438.786805585,42953472.54
12286520.0,KG,2014,7,12286520.0,KG,1017470.0,L,17971836.0,KG,1058168.8,43603044.8,71634977.0,12126153.0,1.6428893286828448,7380992.004934327,2014-07-01,8474438.786805585,42953472.54
12820399.0,KG,2014,8,12820399.0,KG,951981.0,L,17948524.0,KG,990060.24,44579382.24,65532378.0,12893760.0,1.470015390684337,8771173.473222999,2014-08-01,8474438.786805585,42953472.54
9014356.0,KG,2014,9,9014356.0,KG,839633.0,L,16594156.0,KG,873218.3200000001,35496086.32,58094469.0,11238530.0,1.6366443465421459,6866812.587441148,2014-09-01,8474438.786805585,42953472.54
14166404.0,KG,2014,10,14166404.0,KG,847871.0,L,17814694.0,KG,881785.8400000001,47029287.84,65400766.0,11720077.0,1.3906390890396267,8427835.153184043,2014-10-01,8474438.786805585,42953472.54
12219354.0,KG,2014,11,12219354.0,KG,889411.0,L,17146386.0,KG,924987.44,42510081.44,56374467.0,10181398.0,1.3261434720977567,7677448.341162198,2014-11-01,8474438.786805585,42953472.54
11404040.0,KG,2014,12,11404040.0,KG,926203.0,L,16495223.0,KG,963251.12,40266554.120000005,59668432.0,10722386.0,1.4818360623106628,7235878.699888248,2014-12-01,8474438.786805585,42953472.54
8599723.0,KG,2015,1,8599723.0,KG,982894.0,L,13021042.0,KG,1022209.76,31242697.76,44900700.0,8136935.0,1.4371582231764353,5661822.664184871,2015-01-01,6157508.944321162,35606444.486666664
9160935.0,KG,2015,2,9160935.0,KG,890021.0,L,14163343.0,KG,925621.84,33410834.84,47651681.0,8263393.0,1.4262343706225091,5793853.499963876,2015-02-01,6157508.944321162,35606444.486666664
12141187.0,KG,2015,3,12141187.0,KG,964610.0,L,18020521.0,KG,1003194.4,43306089.4,56384618.0,8329054.0,1.302002069020806,6397112.72215106,2015-03-01,6157508.944321162,35606444.486666664
13143198.0,KG,2015,4,13143198.0,KG,462226.0,L,17707547.0,KG,480715.04,44474658.04,58789825.0,9021389.0,1.3218724458122895,6824704.62908875,2015-04-01,6157508.944321162,35606444.486666664
13511423.0,KG,2015,5,13511423.0,KG,0.0,L,20890464.0,KG,0.0,47913310.0,58073845.0,10501917.0,1.2120608031463491,8664513.341854151,2015-05-01,6157508.944321162,35606444.486666664
10455358.0,KG,2015,6,10455358.0,KG,0.0,L,17478586.0,KG,0.0,38389302.0,47949140.0,7722702.0,1.2490234909715212,6182991.797850889,2015-06-01,6157508.944321162,35606444.486666664
11955169.0,KG,2015,7,11955169.0,KG,153192.0,L,16802971.0,KG,159319.68,40872628.68,45514747.0,8085988.0,1.1135752328616806,7261285.77700181,2015-07-01,6157508.944321162,35606444.486666664
7764834.0,KG,2015,8,7764834.0,KG,0.0,L,14264062.0,KG,0.0,29793730.0,40595077.0,8296022.0,1.36253758760652,6088655.517073166,2015-08-01,6157508.944321162,35606444.486666664
8016731.0,KG,2015,9,8016731.0,KG,202525.0,L,11205846.0,KG,210626.0,27449934.0,40483024.0,8013905.0,1.4747949485051586,5433911.343487334,2015-09-01,6157508.944321162,35606444.486666664
9470328.0,KG,2015,10,9470328.0,KG,53003.0,L,12624057.0,KG,55123.12,31619836.12,39310085.0,5130986.0,1.2432096374824602,4127208.9962159665,2015-10-01,6157508.944321162,35606444.486666664
8442313.0,KG,2015,11,8442313.0,KG,0.0,L,11510694.0,KG,0.0,28395320.0,37235338.0,7876047.0,1.311319541389215,6006199.672473498,2015-11-01,6157508.944321162,35606444.486666664
8799686.0,KG,2015,12,8799686.0,KG,0.0,L,12809621.0,KG,0.0,30408993.0,39220891.0,7026521.0,1.2897793425780328,5447847.370508564,2015-12-01,6157508.944321162,35606444.486666664
8407118.0,KG,2016,1,8407118.0,KG,,,13918942.0,KG,,30733178.0,36391497.0,7936287.0,1.1841110932296035,6702316.231456101,2016-01-01,8160888.31264788,38475753.32333333
11117422.0,KG,2016,2,11117422.0,KG,1000.0,L,13455579.0,KG,1040.0,35691463.0,39019766.0,9460282.0,1.0932520754332766,8653340.078271253,2016-02-01,8160888.31264788,38475753.32333333
11116595.0,KG,2016,3,11116595.0,KG,4286.0,L,10800807.0,KG,4457.4400000000005,33038454.44,33672133.0,7013685.0,1.0191800303840122,6881693.901868687,2016-03-01,8160888.31264788,38475753.32333333
10510663.0,KG,2016,4,10510663.0,KG,4859.0,L,12734990.0,KG,5053.360000000001,33761369.36,39210018.0,10165527.0,1.1613870747332744,8752919.00621042,2016-04-01,8160888.31264788,38475753.32333333
10635372.0,KG,2016,5,10635372.0,KG,18995.0,L,16435910.0,KG,19754.8,37726408.8,39401543.0,7606408.0,1.044402164247343,7283025.888290476,2016-05-01,8160888.31264788,38475753.32333333
12287848.0,KG,2016,6,12287848.0,KG,0.0,L,16955228.0,KG,0.0,41530924.0,40798212.0,9508816.0,0.9823574356303751,9679588.767909339,2016-06-01,8160888.31264788,38475753.32333333
11054708.0,KG,2016,7,11054708.0,KG,19278.0,L,16729429.0,KG,20049.12,38858894.120000005,40382221.0,7969577.0,1.0392014985114042,7668942.944574229,2016-07-01,8160888.31264788,38475753.32333333
11743344.0,KG,2016,8,11743344.0,KG,2523.0,L,20196770.0,KG,2623.92,43686081.92,41842892.0,7825127.0,0.9578083032629171,8169825.813101156,2016-08-01,8160888.31264788,38475753.32333333
11449951.0,KG,2016,9,11449951.0,KG,17676.0,L,14939433.0,KG,18383.04,37857718.04,38175049.0,7115714.0,1.00838219989025,7056564.466106659,2016-09-01,8160888.31264788,38475753.32333333
11496577.0,KG,2016,10,11496577.0,KG,21000.0,L,20062963.0,KG,21840.0,43077957.0,42938089.0,7837630.0,0.996753142216099,7863160.564083558,2016-10-01,8160888.31264788,38475753.32333333
11512059.0,KG,2016,11,11512059.0,KG,95625.0,L,18224717.0,KG,99450.0,41348285.0,44047874.0,9875746.0,1.0652890198468934,9270485.113438392,2016-11-01,8160888.31264788,38475753.32333333
12630774.0,KG,2016,12,12630774.0,KG,99830.0,L,19032935.0,KG,103823.2,44398306.2,50193151.0,11247309.0,1.1305195016651333,9948796.976464296,2016-12-01,8160888.31264788,38475753.32333333
9694167.0,KG,2017,1,9694167.0,KG,157931.0,L,15715583.0,KG,164248.24000000002,35268165.239999995,45788946.0,10169239.0,1.2983081396042593,7832685.238420913,2017-01-01,9238363.575218458,43730161.593333334
13751298.0,KG,2017,2,13751298.0,KG,479685.0,L,15109960.0,KG,498872.4,43111428.4,51833129.0,10699703.0,1.2023059992138883,8899317.650411675,2017-02-01,9238363.575218458,43730161.593333334
12766201.0,KG,2017,3,12766201.0,KG,193427.0,L,17401014.0,KG,201164.08,43134580.08,54685413.0,11140592.0,1.2677859132644187,8787439.490721362,2017-03-01,9238363.575218458,43730161.593333334
12896828.0,KG,2017,4,12896828.0,KG,286725.0,L,17050671.0,KG,298194.0,43142521.0,52291413.0,11045337.0,1.212062062854417,9112847.71506513,2017-04-01,9238363.575218458,43730161.593333334
13712517.0,KG,2017,5,13712517.0,KG,202458.0,L,17702417.0,KG,210556.32,45338007.32,55438004.0,14006535.0,1.2227710761241282,11454748.377265463,2017-05-01,9238363.575218458,43730161.593333334
