E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"MODIFIED WHEY, NESOI",9577802,KG,2013,01,0404100850
"MODIFIED WHEY, NESOI",9243003,KG,2013,02,0404100850
"MODIFIED WHEY, NESOI",10357029,KG,2013,03,0404100850
"MODIFIED WHEY, NESOI",10703985,KG,2013,04,0404100850
"MODIFIED WHEY, NESOI",11578350,KG,2013,05,0404100850
"MODIFIED WHEY, NESOI",11762364,KG,2013,06,0404100850
"MODIFIED WHEY, NESOI",11095570,KG,2013,07,0404100850
"MODIFIED WHEY, NESOI",10968566,KG,2013,08,0404100850
"MODIFIED WHEY, NESOI",9150485,KG,2013,09,0404100850
"MODIFIED WHEY, NESOI",9582980,KG,2013,10,0404100850
"MODIFIED WHEY, NESOI",8049269,KG,2013,11,0404100850
"MODIFIED WHEY, NESOI",8511345,KG,2013,12,0404100850
"MODIFIED WHEY, NESOI",9148636,KG,2014,01,0404100850
"MODIFIED WHEY, NESOI",9221732,KG,2014,02,0404100850
"MODIFIED WHEY, NESOI",12352038,KG,2014,03,0404100850
"MODIFIED WHEY, NESOI",11085663,KG,2014,04,0404100850
"MODIFIED WHEY, NESOI",10715995,KG,2014,05,0404100850
"MODIFIED WHEY, NESOI",13045373,KG,2014,06,0404100850
"MODIFIED WHEY, NESOI",12286520,KG,2014,07,0404100850
"MODIFIED WHEY, NESOI",12820399,KG,2014,08,0404100850
"MODIFIED WHEY, NESOI",9014356,KG,2014,09,0404100850
"MODIFIED WHEY, NESOI",14166404,KG,2014,10,0404100850
"MODIFIED WHEY, NESOI",12219354,KG,2014,11,0404100850
"MODIFIED WHEY, NESOI",11404040,KG,2014,12,0404100850
"MODIFIED WHEY, NESOI",8599723,KG,2015,01,0404100850
"MODIFIED WHEY, NESOI",9160935,KG,2015,02,0404100850
"MODIFIED WHEY, NESOI",12141187,KG,2015,03,0404100850
"MODIFIED WHEY, NESOI",13143198,KG,2015,04,0404100850
"MODIFIED WHEY, NESOI",13511423,KG,2015,05,0404100850
"MODIFIED WHEY, NESOI",10455358,KG,2015,06,0404100850
"MODIFIED WHEY, NESOI",11955169,KG,2015,07,0404100850
"MODIFIED WHEY, NESOI",7764834,KG,2015,08,0404100850
"MODIFIED WHEY, NESOI",8016731,KG,2015,09,0404100850
"MODIFIED WHEY, NESOI",9470328,KG,2015,10,0404100850
"MODIFIED WHEY, NESOI",8442313,KG,2015,11,0404100850
"MODIFIED WHEY, NESOI",8799686,KG,2015,12,0404100850
"MODIFIED WHEY, NESOI",8407118,KG,2016,01,0404100850
