E_COMMODITY_LDESC,QTY_1_YR,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1829711,KG,2013,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3428372,KG,2013,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6960138,KG,2013,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",9176690,KG,2013,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",11737473,KG,2013,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",13496181,KG,2013,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",14952850,KG,2013,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",16764606,KG,2013,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",17714594,KG,2013,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",19198795,KG,2013,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",20450755,KG,2013,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",21051028,KG,2013,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",624105,KG,2014,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",924191,KG,2014,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1116784,KG,2014,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1379032,KG,2014,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2280191,KG,2014,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2625741,KG,2014,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2977037,KG,2014,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3242153,KG,2014,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3705885,KG,2014,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4010579,KG,2014,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4369708,KG,2014,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4783458,KG,2014,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",305027,KG,2015,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",952946,KG,2015,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1568358,KG,2015,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1909002,KG,2015,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2526046,KG,2015,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3311853,KG,2015,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4041875,KG,2015,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4583747,KG,2015,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5282458,KG,2015,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6118863,KG,2015,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6465504,KG,2015,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",7067241,KG,2015,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",375266,KG,2016,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",733012,KG,2016,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1194632,KG,2016,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1523864,KG,2016,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1853165,KG,2016,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2512211,KG,2016,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3013207,KG,2016,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3793659,KG,2016,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4248152,KG,2016,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4712308,KG,2016,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5321041,KG,2016,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5648949,KG,2016,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",375494,KG,2017,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",593753,KG,2017,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1329417,KG,2017,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1678820,KG,2017,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2434008,KG,2017,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2921671,KG,2017,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3239852,KG,2017,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3855082,KG,2017,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4291355,KG,2017,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4692545,KG,2017,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5153932,KG,2017,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6071494,KG,2017,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",572666,KG,2018,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",959261,KG,2018,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1611775,KG,2018,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1974967,KG,2018,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2420184,KG,2018,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2942250,KG,2018,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4444665,KG,2018,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6142013,KG,2018,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6642210,KG,2018,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",7188116,KG,2018,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",9211394,KG,2018,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",10082626,KG,2018,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",914330,KG,2019,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1281234,KG,2019,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1750574,KG,2019,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2360096,KG,2019,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2850797,KG,2019,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3544400,KG,2019,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4071055,KG,2019,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4679989,KG,2019,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5205088,KG,2019,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5729143,KG,2019,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6345327,KG,2019,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6765298,KG,2019,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",562099,KG,2020,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1214852,KG,2020,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1923272,KG,2020,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2607402,KG,2020,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3273126,KG,2020,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",3880697,KG,2020,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4856611,KG,2020,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6514954,KG,2020,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",8396930,KG,2020,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",10370141,KG,2020,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",12805452,KG,2020,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",14767693,KG,2020,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",1723853,KG,2021,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2898506,KG,2021,02,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",5237585,KG,2021,03,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",6910122,KG,2021,04,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",9383913,KG,2021,05,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",12324285,KG,2021,06,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",14389652,KG,2021,07,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",16917609,KG,2021,08,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",19051989,KG,2021,09,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",20375493,KG,2021,10,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",22634832,KG,2021,11,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",25522698,KG,2021,12,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",2146989,KG,2022,01,1103130060
"GROATS AND MEAL OF CORN (MAIZE), NESOI",4367005,KG,2022,02,1103130060
