E_COMMODITY,E_COMMODITY_LDESC,QTY_1_YR,QTY_1_YR_FLAG,QTY_2_YR,QTY_2_YR_FLAG,YEAR,MONTH,E_COMMODITY
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",645500,-,0,-,2013,01,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1084271,-,0,-,2013,02,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1148622,-,0,-,2013,03,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1803463,-,0,-,2013,04,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",2703368,-,0,-,2013,05,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",3324530,-,0,-,2013,06,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",4084919,-,0,-,2013,07,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",4954069,-,0,-,2013,08,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",5721089,-,0,-,2013,09,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",7656843,-,0,-,2013,10,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",9752073,-,0,-,2013,11,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",11070297,-,0,-,2013,12,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",189003,-,0,-,2014,01,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",361391,-,0,-,2014,02,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",478490,-,0,-,2014,03,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",658305,-,0,-,2014,04,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1007720,-,0,-,2014,05,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",1356080,-,0,-,2014,06,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",2473067,-,0,-,2014,07,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",2827208,-,0,-,2014,08,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",3570893,-,0,-,2014,09,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",4950849,-,0,-,2014,10,0810400050
0810400050,"CRANBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM EXCEPT BLUEBERRIES, FRESH, NESOI",5764877,-,0,-,2014,11,0810400050
