E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
FLOURS AND MEALS OF SOYBEANS,284429069,KG,2013,01,1208100000
FLOURS AND MEALS OF SOYBEANS,239165903,KG,2013,02,1208100000
FLOURS AND MEALS OF SOYBEANS,394632573,KG,2013,03,1208100000
FLOURS AND MEALS OF SOYBEANS,121677677,KG,2013,04,1208100000
FLOURS AND MEALS OF SOYBEANS,125776430,KG,2013,05,1208100000
FLOURS AND MEALS OF SOYBEANS,126918774,KG,2013,06,1208100000
FLOURS AND MEALS OF SOYBEANS,191002864,KG,2013,07,1208100000
FLOURS AND MEALS OF SOYBEANS,148666369,KG,2013,08,1208100000
FLOURS AND MEALS OF SOYBEANS,76958566,KG,2013,09,1208100000
FLOURS AND MEALS OF SOYBEANS,140257064,KG,2013,10,1208100000
FLOURS AND MEALS OF SOYBEANS,346839766,KG,2013,11,1208100000
FLOURS AND MEALS OF SOYBEANS,398543007,KG,2013,12,1208100000
FLOURS AND MEALS OF SOYBEANS,433205222,KG,2014,01,1208100000
FLOURS AND MEALS OF SOYBEANS,306343550,KG,2014,02,1208100000
FLOURS AND MEALS OF SOYBEANS,355029001,KG,2014,03,1208100000
FLOURS AND MEALS OF SOYBEANS,134612401,KG,2014,04,1208100000
FLOURS AND MEALS OF SOYBEANS,115904551,KG,2014,05,1208100000
FLOURS AND MEALS OF SOYBEANS,62867537,KG,2014,06,1208100000
FLOURS AND MEALS OF SOYBEANS,100656090,KG,2014,07,1208100000
FLOURS AND MEALS OF SOYBEANS,27984413,KG,2014,08,1208100000
FLOURS AND MEALS OF SOYBEANS,67401970,KG,2014,09,1208100000
FLOURS AND MEALS OF SOYBEANS,113248851,KG,2014,10,1208100000
FLOURS AND MEALS OF SOYBEANS,382499461,KG,2014,11,1208100000
FLOURS AND MEALS OF SOYBEANS,338738642,KG,2014,12,1208100000
FLOURS AND MEALS OF SOYBEANS,339234936,KG,2015,01,1208100000
FLOURS AND MEALS OF SOYBEANS,253855757,KG,2015,02,1208100000
FLOURS AND MEALS OF SOYBEANS,164850496,KG,2015,03,1208100000
FLOURS AND MEALS OF SOYBEANS,219554651,KG,2015,04,1208100000
FLOURS AND MEALS OF SOYBEANS,87762194,KG,2015,05,1208100000
FLOURS AND MEALS OF SOYBEANS,133162399,KG,2015,06,1208100000
FLOURS AND MEALS OF SOYBEANS,101754109,KG,2015,07,1208100000
FLOURS AND MEALS OF SOYBEANS,131015100,KG,2015,08,1208100000
FLOURS AND MEALS OF SOYBEANS,73087042,KG,2015,09,1208100000
FLOURS AND MEALS OF SOYBEANS,151001762,KG,2015,10,1208100000
FLOURS AND MEALS OF SOYBEANS,213576162,KG,2015,11,1208100000
FLOURS AND MEALS OF SOYBEANS,219587313,KG,2015,12,1208100000
FLOURS AND MEALS OF SOYBEANS,263559887,KG,2016,01,1208100000
FLOURS AND MEALS OF SOYBEANS,191523387,KG,2016,02,1208100000
FLOURS AND MEALS OF SOYBEANS,192407810,KG,2016,03,1208100000
FLOURS AND MEALS OF SOYBEANS,154928883,KG,2016,04,1208100000
FLOURS AND MEALS OF SOYBEANS,133179081,KG,2016,05,1208100000
FLOURS AND MEALS OF SOYBEANS,91841257,KG,2016,06,1208100000
FLOURS AND MEALS OF SOYBEANS,103606349,KG,2016,07,1208100000
FLOURS AND MEALS OF SOYBEANS,78208371,KG,2016,08,1208100000
FLOURS AND MEALS OF SOYBEANS,125974940,KG,2016,09,1208100000
FLOURS AND MEALS OF SOYBEANS,150093023,KG,2016,10,1208100000
FLOURS AND MEALS OF SOYBEANS,247888181,KG,2016,11,1208100000
FLOURS AND MEALS OF SOYBEANS,199347710,KG,2016,12,1208100000
FLOURS AND MEALS OF SOYBEANS,227923248,KG,2017,01,1208100000
FLOURS AND MEALS OF SOYBEANS,133305776,KG,2017,02,1208100000
