E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2805865,KG,2013,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2206523,KG,2013,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3861716,KG,2013,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5042356,KG,2013,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5111257,KG,2013,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1062192,KG,2013,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3507586,KG,2013,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4271408,KG,2013,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3014765,KG,2013,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1182687,KG,2013,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1502648,KG,2013,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2929237,KG,2013,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3140444,KG,2014,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6254535,KG,2014,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4811630,KG,2014,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5983396,KG,2014,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3974378,KG,2014,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6642241,KG,2014,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2725964,KG,2014,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,9224195,KG,2014,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2670662,KG,2014,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1804635,KG,2014,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3971770,KG,2014,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3843092,KG,2014,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6251050,KG,2015,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5441782,KG,2015,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6113784,KG,2015,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6140126,KG,2015,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2818574,KG,2015,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1717018,KG,2015,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1821727,KG,2015,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7714190,KG,2015,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2268911,KG,2015,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1817772,KG,2015,10,1201100000
