STATE,ALL_VAL_MO,E_COMMODITY,E_COMMODITY_LDESC,YEAR,MONTH,E_COMMODITY
-,1559928,120110,SOYBEAN SEED,2014,10,120110
AR,58204,120110,SOYBEAN SEED,2014,10,120110
CA,4422,120110,SOYBEAN SEED,2014,10,120110
FL,0,120110,SOYBEAN SEED,2014,10,120110
IA,144000,120110,SOYBEAN SEED,2014,10,120110
IL,55979,120110,SOYBEAN SEED,2014,10,120110
IN,0,120110,SOYBEAN SEED,2014,10,120110
ME,0,120110,SOYBEAN SEED,2014,10,120110
MI,0,120110,SOYBEAN SEED,2014,10,120110
MN,272000,120110,SOYBEAN SEED,2014,10,120110
MO,383233,120110,SOYBEAN SEED,2014,10,120110
NC,425128,120110,SOYBEAN SEED,2014,10,120110
ND,153853,120110,SOYBEAN SEED,2014,10,120110
NE,0,120110,SOYBEAN SEED,2014,10,120110
NY,0,120110,SOYBEAN SEED,2014,10,120110
OH,0,120110,SOYBEAN SEED,2014,10,120110
PA,0,120110,SOYBEAN SEED,2014,10,120110
SD,0,120110,SOYBEAN SEED,2014,10,120110
XX,0,120110,SOYBEAN SEED,2014,10,120110
TX,63109,120110,SOYBEAN SEED,2014,10,120110
WA,0,120110,SOYBEAN SEED,2014,10,120110
IN,472235,120110,SOYBEAN SEED,2014,05,120110
-,4984038,120110,SOYBEAN SEED,2014,05,120110
CA,16339,120110,SOYBEAN SEED,2014,05,120110
FL,3360,120110,SOYBEAN SEED,2014,05,120110
IA,346337,120110,SOYBEAN SEED,2014,05,120110
IL,530339,120110,SOYBEAN SEED,2014,05,120110
ME,20937,120110,SOYBEAN SEED,2014,05,120110
MI,29867,120110,SOYBEAN SEED,2014,05,120110
MN,1183955,120110,SOYBEAN SEED,2014,05,120110
MO,352613,120110,SOYBEAN SEED,2014,05,120110
NC,325618,120110,SOYBEAN SEED,2014,05,120110
ND,1431534,120110,SOYBEAN SEED,2014,05,120110
NE,0,120110,SOYBEAN SEED,2014,05,120110
NY,0,120110,SOYBEAN SEED,2014,05,120110
TX,0,120110,SOYBEAN SEED,2014,05,120110
OH,141467,120110,SOYBEAN SEED,2014,05,120110
PA,120172,120110,SOYBEAN SEED,2014,05,120110
SD,0,120110,SOYBEAN SEED,2014,05,120110
XX,9265,120110,SOYBEAN SEED,2014,05,120110
ME,0,120110,SOYBEAN SEED,2015,04,120110
-,7328977,120110,SOYBEAN SEED,2015,04,120110
AL,0,120110,SOYBEAN SEED,2015,04,120110
CA,0,120110,SOYBEAN SEED,2015,04,120110
IA,560792,120110,SOYBEAN SEED,2015,04,120110
ID,10117,120110,SOYBEAN SEED,2015,04,120110
IL,129312,120110,SOYBEAN SEED,2015,04,120110
KY,0,120110,SOYBEAN SEED,2015,04,120110
MI,445786,120110,SOYBEAN SEED,2015,04,120110
MN,2230309,120110,SOYBEAN SEED,2015,04,120110
MO,79633,120110,SOYBEAN SEED,2015,04,120110
NC,182458,120110,SOYBEAN SEED,2015,04,120110
ND,1451358,120110,SOYBEAN SEED,2015,04,120110
NJ,4496,120110,SOYBEAN SEED,2015,04,120110
NY,154572,120110,SOYBEAN SEED,2015,04,120110
OH,1642938,120110,SOYBEAN SEED,2015,04,120110
PA,232487,120110,SOYBEAN SEED,2015,04,120110
TX,181637,120110,SOYBEAN SEED,2015,04,120110
VA,0,120110,SOYBEAN SEED,2015,04,120110
XX,23082,120110,SOYBEAN SEED,2015,04,120110
ND,191617,120110,SOYBEAN SEED,2013,01,120110
-,3075765,120110,SOYBEAN SEED,2013,01,120110
AZ,39586,120110,SOYBEAN SEED,2013,01,120110
IA,2111627,120110,SOYBEAN SEED,2013,01,120110
MN,244165,120110,SOYBEAN SEED,2013,01,120110
MO,238799,120110,SOYBEAN SEED,2013,01,120110
NY,19058,120110,SOYBEAN SEED,2013,01,120110
OH,2727,120110,SOYBEAN SEED,2013,01,120110
TX,217894,120110,SOYBEAN SEED,2013,01,120110
VT,10292,120110,SOYBEAN SEED,2013,01,120110
-,3207766,120110,SOYBEAN SEED,2013,08,120110
AZ,0,120110,SOYBEAN SEED,2013,08,120110
CA,4382,120110,SOYBEAN SEED,2013,08,120110
IA,34000,120110,SOYBEAN SEED,2013,08,120110
ID,0,120110,SOYBEAN SEED,2013,08,120110
IL,275388,120110,SOYBEAN SEED,2013,08,120110
IN,0,120110,SOYBEAN SEED,2013,08,120110
MD,0,120110,SOYBEAN SEED,2013,08,120110
MI,282862,120110,SOYBEAN SEED,2013,08,120110
MN,490061,120110,SOYBEAN SEED,2013,08,120110
MO,675683,120110,SOYBEAN SEED,2013,08,120110
NC,0,120110,SOYBEAN SEED,2013,08,120110
ND,0,120110,SOYBEAN SEED,2013,08,120110
NE,0,120110,SOYBEAN SEED,2013,08,120110
NY,0,120110,SOYBEAN SEED,2013,08,120110
OH,605718,120110,SOYBEAN SEED,2013,08,120110
SD,0,120110,SOYBEAN SEED,2013,08,120110
TX,839672,120110,SOYBEAN SEED,2013,08,120110
VT,0,120110,SOYBEAN SEED,2013,08,120110
WI,0,120110,SOYBEAN SEED,2013,08,120110
XX,0,120110,SOYBEAN SEED,2013,08,120110
FL,13800,120110,SOYBEAN SEED,2017,10,120110
-,4938968,120110,SOYBEAN SEED,2017,10,120110
AL,0,120110,SOYBEAN SEED,2017,10,120110
AR,62202,120110,SOYBEAN SEED,2017,10,120110
AZ,0,120110,SOYBEAN SEED,2017,10,120110
CA,437311,120110,SOYBEAN SEED,2017,10,120110
IA,3369253,120110,SOYBEAN SEED,2017,10,120110
IL,220096,120110,SOYBEAN SEED,2017,10,120110
KS,309014,120110,SOYBEAN SEED,2017,10,120110
MI,0,120110,SOYBEAN SEED,2017,10,120110
MN,0,120110,SOYBEAN SEED,2017,10,120110
NC,0,120110,SOYBEAN SEED,2017,10,120110
ND,0,120110,SOYBEAN SEED,2017,10,120110
NJ,0,120110,SOYBEAN SEED,2017,10,120110
NY,0,120110,SOYBEAN SEED,2017,10,120110
OH,0,120110,SOYBEAN SEED,2017,10,120110
PA,0,120110,SOYBEAN SEED,2017,10,120110
PR,0,120110,SOYBEAN SEED,2017,10,120110
SD,0,120110,SOYBEAN SEED,2017,10,120110
TX,337292,120110,SOYBEAN SEED,2017,10,120110
XX,0,120110,SOYBEAN SEED,2017,10,120110
VA,190000,120110,SOYBEAN SEED,2017,10,120110
WA,0,120110,SOYBEAN SEED,2017,10,120110
WI,0,120110,SOYBEAN SEED,2017,10,120110
IL,1023347,120110,SOYBEAN SEED,2013,05,120110
-,5527419,120110,SOYBEAN SEED,2013,05,120110
AZ,0,120110,SOYBEAN SEED,2013,05,120110
CA,0,120110,SOYBEAN SEED,2013,05,120110
IA,414180,120110,SOYBEAN SEED,2013,05,120110
ID,0,120110,SOYBEAN SEED,2013,05,120110
IN,16911,120110,SOYBEAN SEED,2013,05,120110
MI,512732,120110,SOYBEAN SEED,2013,05,120110
MN,610372,120110,SOYBEAN SEED,2013,05,120110
MO,224899,120110,SOYBEAN SEED,2013,05,120110
NC,0,120110,SOYBEAN SEED,2013,05,120110
ND,1485673,120110,SOYBEAN SEED,2013,05,120110
NE,24600,120110,SOYBEAN SEED,2013,05,120110
NY,52071,120110,SOYBEAN SEED,2013,05,120110
OH,1092057,120110,SOYBEAN SEED,2013,05,120110
SD,60316,120110,SOYBEAN SEED,2013,05,120110
TX,0,120110,SOYBEAN SEED,2013,05,120110
VT,0,120110,SOYBEAN SEED,2013,05,120110
WI,0,120110,SOYBEAN SEED,2013,05,120110
XX,10261,120110,SOYBEAN SEED,2013,05,120110
IA,85123,120110,SOYBEAN SEED,2017,05,120110
-,6928954,120110,SOYBEAN SEED,2017,05,120110
AL,0,120110,SOYBEAN SEED,2017,05,120110
AR,0,120110,SOYBEAN SEED,2017,05,120110
CA,134053,120110,SOYBEAN SEED,2017,05,120110
FL,13804,120110,SOYBEAN SEED,2017,05,120110
IL,347050,120110,SOYBEAN SEED,2017,05,120110
KS,164290,120110,SOYBEAN SEED,2017,05,120110
MI,0,120110,SOYBEAN SEED,2017,05,120110
MN,29086,120110,SOYBEAN SEED,2017,05,120110
NC,0,120110,SOYBEAN SEED,2017,05,120110
ND,981263,120110,SOYBEAN SEED,2017,05,120110
NJ,35642,120110,SOYBEAN SEED,2017,05,120110
NY,0,120110,SOYBEAN SEED,2017,05,120110
OH,4230192,120110,SOYBEAN SEED,2017,05,120110
PA,364323,120110,SOYBEAN SEED,2017,05,120110
PR,0,120110,SOYBEAN SEED,2017,05,120110
SD,7705,120110,SOYBEAN SEED,2017,05,120110
TX,104026,120110,SOYBEAN SEED,2017,05,120110
VA,90000,120110,SOYBEAN SEED,2017,05,120110
WA,157060,120110,SOYBEAN SEED,2017,05,120110
WI,176409,120110,SOYBEAN SEED,2017,05,120110
XX,8928,120110,SOYBEAN SEED,2017,05,120110
IA,180000,120110,SOYBEAN SEED,2017,02,120110
-,2411808,120110,SOYBEAN SEED,2017,02,120110
AL,23122,120110,SOYBEAN SEED,2017,02,120110
AR,0,120110,SOYBEAN SEED,2017,02,120110
CA,12290,120110,SOYBEAN SEED,2017,02,120110
FL,8434,120110,SOYBEAN SEED,2017,02,120110
MN,399635,120110,SOYBEAN SEED,2017,02,120110
NC,7735,120110,SOYBEAN SEED,2017,02,120110
ND,1016097,120110,SOYBEAN SEED,2017,02,120110
NY,4959,120110,SOYBEAN SEED,2017,02,120110
OH,753677,120110,SOYBEAN SEED,2017,02,120110
PR,2709,120110,SOYBEAN SEED,2017,02,120110
TX,0,120110,SOYBEAN SEED,2017,02,120110
XX,3150,120110,SOYBEAN SEED,2017,02,120110
-,981610,120110,SOYBEAN SEED,2013,10,120110
