E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8093949.0,KG,2013,1,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",10569914.0,KG,2013,2,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",18780178.0,KG,2013,3,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",12427619.0,KG,2013,4,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5700928.0,KG,2013,5,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6253022.0,KG,2013,6,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",10846717.0,KG,2013,7,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7369930.0,KG,2013,8,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5416694.0,KG,2013,9,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8150409.0,KG,2013,10,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5222156.0,KG,2013,11,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6309011.0,KG,2013,12,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",15145437.0,KG,2014,1,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",15884093.0,KG,2014,2,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",11761979.0,KG,2014,3,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",18715533.0,KG,2014,4,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",11710851.0,KG,2014,5,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5555853.0,KG,2014,6,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8234318.0,KG,2014,7,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",19774433.0,KG,2014,8,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",10977340.0,KG,2014,9,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6956319.0,KG,2014,10,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6288022.0,KG,2014,11,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8137726.0,KG,2014,12,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7051283.0,KG,2015,1,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6374188.0,KG,2015,2,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",17134086.0,KG,2015,3,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",7438082.0,KG,2015,4,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",13368972.0,KG,2015,5,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",10544811.0,KG,2015,6,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",6605797.0,KG,2015,7,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",13227416.0,KG,2015,8,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8384494.0,KG,2015,9,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",9728146.0,KG,2015,10,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8551505.0,KG,2015,11,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",8017520.0,KG,2015,12,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",5612425.0,KG,2016,1,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",23009194.0,KG,2016,2,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",13823528.0,KG,2016,3,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",13904790.0,KG,2016,4,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",11341333.0,KG,2016,5,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",10943865.0,KG,2016,6,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",12309277.0,KG,2016,7,1103130020,,,
"GROATS AND MEAL OF CORN (MAIZE), CORNMEAL",9363325.0,KG,2016,8,1103130020,,,
