E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
FLOURS AND MEALS OF SOYBEANS,284429069.0,KG,2013,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,239165903.0,KG,2013,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,394632573.0,KG,2013,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,121677677.0,KG,2013,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,125776430.0,KG,2013,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,126918774.0,KG,2013,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,191002864.0,KG,2013,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,148666369.0,KG,2013,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,76958566.0,KG,2013,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,140257064.0,KG,2013,10,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,346839766.0,KG,2013,11,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,398543007.0,KG,2013,12,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,433205222.0,KG,2014,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,306343550.0,KG,2014,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,355029001.0,KG,2014,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,134612401.0,KG,2014,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,115904551.0,KG,2014,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,62867537.0,KG,2014,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,100656090.0,KG,2014,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,27984413.0,KG,2014,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,67401970.0,KG,2014,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,113248851.0,KG,2014,10,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,382499461.0,KG,2014,11,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,338738642.0,KG,2014,12,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,339234936.0,KG,2015,1,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,253855757.0,KG,2015,2,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,164850496.0,KG,2015,3,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,219554651.0,KG,2015,4,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,87762194.0,KG,2015,5,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,133162399.0,KG,2015,6,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,101754109.0,KG,2015,7,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,131015100.0,KG,2015,8,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,73087042.0,KG,2015,9,1208100000,,,
FLOURS AND MEALS OF SOYBEANS,151001762.0,KG,2015,10,1208100000,,,
