E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",528404.0,L,2013,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",185956.0,L,2013,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",343896.0,L,2013,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",210964.0,L,2013,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",657454.0,L,2013,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",415297.0,L,2013,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",692564.0,L,2013,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",169902.0,L,2013,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",135711.0,L,2013,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",319615.0,L,2013,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",687969.0,L,2013,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",672512.0,L,2013,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",688640.0,L,2014,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",290389.0,L,2014,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",468143.0,L,2014,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",455108.0,L,2014,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",663619.0,L,2014,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",88641.0,L,2014,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",287365.0,L,2014,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",438289.0,L,2014,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",154388.0,L,2014,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",475173.0,L,2014,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",362946.0,L,2014,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",314172.0,L,2014,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",170402.0,L,2015,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",586089.0,L,2015,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",273288.0,L,2015,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",272037.0,L,2015,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1570671.0,L,2015,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",3136035.0,L,2015,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",2222188.0,L,2015,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",283726.0,L,2015,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",65265.0,L,2015,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",317827.0,L,2015,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",287428.0,L,2015,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1421151.0,L,2015,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1252941.0,L,2016,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1524400.0,L,2016,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1511683.0,L,2016,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1253848.0,L,2016,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",520655.0,L,2016,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",292443.0,L,2016,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",225930.0,L,2016,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",226778.0,L,2016,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",347532.0,L,2016,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",406523.0,L,2016,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",228772.0,L,2016,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",223224.0,L,2016,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",197792.0,L,2017,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",292289.0,L,2017,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",261039.0,L,2017,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",454242.0,L,2017,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",236608.0,L,2017,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",210459.0,L,2017,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",218990.0,L,2017,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",396400.0,L,2017,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",277529.0,L,2017,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",373546.0,L,2017,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",335832.0,L,2017,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",241713.0,L,2017,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",369703.0,L,2018,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",459942.0,L,2018,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",977189.0,L,2018,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1213565.0,L,2018,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1398332.0,L,2018,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",1026423.0,L,2018,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",654106.0,L,2018,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",494157.0,L,2018,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",411594.0,L,2018,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",377886.0,L,2018,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",410091.0,L,2018,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",700153.0,L,2018,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",543822.0,L,2019,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",548394.0,L,2019,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",426136.0,L,2019,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",436646.0,L,2019,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",375619.0,L,2019,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",531220.0,L,2019,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",480316.0,L,2019,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",440796.0,L,2019,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",444448.0,L,2019,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",301191.0,L,2019,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",428251.0,L,2019,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",262096.0,L,2019,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",215798.0,L,2020,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",291440.0,L,2020,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",346761.0,L,2020,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",473352.0,L,2020,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",527808.0,L,2020,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",662186.0,L,2020,6,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",597155.0,L,2020,7,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",244865.0,L,2020,8,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",124312.0,L,2020,9,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",201047.0,L,2020,10,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",271436.0,L,2020,11,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",296115.0,L,2020,12,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",408761.0,L,2021,1,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",309609.0,L,2021,2,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",483518.0,L,2021,3,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",434192.0,L,2021,4,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",785426.0,L,2021,5,401100000,,,
"MILK AND CREAM, NOT CONCENTRATED, NOT SWEETENED, FAT CONTENT NOT EXCEEDING 1% BY WEIGHT",916653.0,L,2021,6,401100000,,,
