E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2805865.0,KG,2013,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2206523.0,KG,2013,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3861716.0,KG,2013,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5042356.0,KG,2013,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5111257.0,KG,2013,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1062192.0,KG,2013,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3507586.0,KG,2013,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4271408.0,KG,2013,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3014765.0,KG,2013,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1182687.0,KG,2013,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1502648.0,KG,2013,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2929237.0,KG,2013,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3140444.0,KG,2014,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6254535.0,KG,2014,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4811630.0,KG,2014,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,5983396.0,KG,2014,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3974378.0,KG,2014,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6642241.0,KG,2014,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2725964.0,KG,2014,7,1201100000,,,
