E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
"MODIFIED WHEY, NESOI",9577802.0,KG,2013,1,404100850,,,
"MODIFIED WHEY, NESOI",9243003.0,KG,2013,2,404100850,,,
"MODIFIED WHEY, NESOI",10357029.0,KG,2013,3,404100850,,,
"MODIFIED WHEY, NESOI",10703985.0,KG,2013,4,404100850,,,
"MODIFIED WHEY, NESOI",11578350.0,KG,2013,5,404100850,,,
"MODIFIED WHEY, NESOI",11762364.0,KG,2013,6,404100850,,,
"MODIFIED WHEY, NESOI",11095570.0,KG,2013,7,404100850,,,
"MODIFIED WHEY, NESOI",10968566.0,KG,2013,8,404100850,,,
"MODIFIED WHEY, NESOI",9150485.0,KG,2013,9,404100850,,,
"MODIFIED WHEY, NESOI",9582980.0,KG,2013,10,404100850,,,
"MODIFIED WHEY, NESOI",8049269.0,KG,2013,11,404100850,,,
"MODIFIED WHEY, NESOI",8511345.0,KG,2013,12,404100850,,,
"MODIFIED WHEY, NESOI",9148636.0,KG,2014,1,404100850,,,
"MODIFIED WHEY, NESOI",9221732.0,KG,2014,2,404100850,,,
"MODIFIED WHEY, NESOI",12352038.0,KG,2014,3,404100850,,,
"MODIFIED WHEY, NESOI",11085663.0,KG,2014,4,404100850,,,
"MODIFIED WHEY, NESOI",10715995.0,KG,2014,5,404100850,,,
"MODIFIED WHEY, NESOI",13045373.0,KG,2014,6,404100850,,,
"MODIFIED WHEY, NESOI",12286520.0,KG,2014,7,404100850,,,
"MODIFIED WHEY, NESOI",12820399.0,KG,2014,8,404100850,,,
"MODIFIED WHEY, NESOI",9014356.0,KG,2014,9,404100850,,,
"MODIFIED WHEY, NESOI",14166404.0,KG,2014,10,404100850,,,
"MODIFIED WHEY, NESOI",12219354.0,KG,2014,11,404100850,,,
"MODIFIED WHEY, NESOI",11404040.0,KG,2014,12,404100850,,,
"MODIFIED WHEY, NESOI",8599723.0,KG,2015,1,404100850,,,
"MODIFIED WHEY, NESOI",9160935.0,KG,2015,2,404100850,,,
"MODIFIED WHEY, NESOI",12141187.0,KG,2015,3,404100850,,,
"MODIFIED WHEY, NESOI",13143198.0,KG,2015,4,404100850,,,
"MODIFIED WHEY, NESOI",13511423.0,KG,2015,5,404100850,,,
"MODIFIED WHEY, NESOI",10455358.0,KG,2015,6,404100850,,,
"MODIFIED WHEY, NESOI",11955169.0,KG,2015,7,404100850,,,
"MODIFIED WHEY, NESOI",7764834.0,KG,2015,8,404100850,,,
"MODIFIED WHEY, NESOI",8016731.0,KG,2015,9,404100850,,,
"MODIFIED WHEY, NESOI",9470328.0,KG,2015,10,404100850,,,
"MODIFIED WHEY, NESOI",8442313.0,KG,2015,11,404100850,,,
"MODIFIED WHEY, NESOI",8799686.0,KG,2015,12,404100850,,,
"MODIFIED WHEY, NESOI",8407118.0,KG,2016,1,404100850,,,
"MODIFIED WHEY, NESOI",11117422.0,KG,2016,2,404100850,,,
"MODIFIED WHEY, NESOI",11116595.0,KG,2016,3,404100850,,,
"MODIFIED WHEY, NESOI",10510663.0,KG,2016,4,404100850,,,
"MODIFIED WHEY, NESOI",10635372.0,KG,2016,5,404100850,,,
"MODIFIED WHEY, NESOI",12287848.0,KG,2016,6,404100850,,,
"MODIFIED WHEY, NESOI",11054708.0,KG,2016,7,404100850,,,
"MODIFIED WHEY, NESOI",11743344.0,KG,2016,8,404100850,,,
"MODIFIED WHEY, NESOI",11449951.0,KG,2016,9,404100850,,,
"MODIFIED WHEY, NESOI",11496577.0,KG,2016,10,404100850,,,
"MODIFIED WHEY, NESOI",11512059.0,KG,2016,11,404100850,,,
"MODIFIED WHEY, NESOI",12630774.0,KG,2016,12,404100850,,,
"MODIFIED WHEY, NESOI",9694167.0,KG,2017,1,404100850,,,
"MODIFIED WHEY, NESOI",13751298.0,KG,2017,2,404100850,,,
"MODIFIED WHEY, NESOI",12766201.0,KG,2017,3,404100850,,,
"MODIFIED WHEY, NESOI",12896828.0,KG,2017,4,404100850,,,
"MODIFIED WHEY, NESOI",13712517.0,KG,2017,5,404100850,,,
"MODIFIED WHEY, NESOI",12005073.0,KG,2017,6,404100850,,,
"MODIFIED WHEY, NESOI",10347676.0,KG,2017,7,404100850,,,
"MODIFIED WHEY, NESOI",13081368.0,KG,2017,8,404100850,,,
"MODIFIED WHEY, NESOI",13187302.0,KG,2017,9,404100850,,,
"MODIFIED WHEY, NESOI",13750418.0,KG,2017,10,404100850,,,
"MODIFIED WHEY, NESOI",13557884.0,KG,2017,11,404100850,,,
"MODIFIED WHEY, NESOI",14884124.0,KG,2017,12,404100850,,,
"MODIFIED WHEY, NESOI",10249551.0,KG,2018,1,404100850,,,
"MODIFIED WHEY, NESOI",11814555.0,KG,2018,2,404100850,,,
"MODIFIED WHEY, NESOI",11171281.0,KG,2018,3,404100850,,,
"MODIFIED WHEY, NESOI",12297674.0,KG,2018,4,404100850,,,
"MODIFIED WHEY, NESOI",11832105.0,KG,2018,5,404100850,,,
"MODIFIED WHEY, NESOI",11751872.0,KG,2018,6,404100850,,,
"MODIFIED WHEY, NESOI",10179811.0,KG,2018,7,404100850,,,
"MODIFIED WHEY, NESOI",11912167.0,KG,2018,8,404100850,,,
"MODIFIED WHEY, NESOI",9660172.0,KG,2018,9,404100850,,,
"MODIFIED WHEY, NESOI",10792769.0,KG,2018,10,404100850,,,
"MODIFIED WHEY, NESOI",11173371.0,KG,2018,11,404100850,,,
"MODIFIED WHEY, NESOI",10770530.0,KG,2018,12,404100850,,,
"MODIFIED WHEY, NESOI",9914042.0,KG,2019,1,404100850,,,
